Hello world!
current zero: 3
pid init done!
pos: 8, u: -6073, i: 1040
pos: 14, u: -6093, i: 176
pos: 17, u: -6094, i: 1296
pos: 19, u: -6100, i: 1872
pos: 18, u: -6082, i: 2112
pos: 18, u: -6086, i: 1136
pos: 17, u: -6077, i: 800
pos: 16, u: -6072, i: 784
pos: 15, u: -6067, i: 720
pos: 13, u: -6053, i: 656
pos: 13, u: -6062, i: 656
pos: 12, u: -6053, i: 736
pos: 10, u: -6039, i: 912
pos: 10, u: -6048, i: 960
pos: 9, u: -6038, i: 896
pos: 8, u: -6034, i: 912
pos: 7, u: -6029, i: 1008
pos: 6, u: -6024, i: 1088
pos: 5, u: -6019, i: 1040
pos: 4, u: -6014, i: 976
pos: 4, u: -6019, i: 960
pos: 3, u: -6010, i: 912
pos: 2, u: -6005, i: 720
pos: 1, u: -6004, i: 880
pos: 0, u: 6004, i: 96
5000
pos: 0, u: 10000, i: 848
pos: 1, u: 10000, i: 336
pos: 3, u: 10000, i: 2496
pos: 6, u: 10000, i: 3936
pos: 10, u: 10000, i: 3344
pos: 16, u: 10000, i: 5296
pos: 22, u: 10000, i: 5248
pos: 29, u: 10000, i: 3504
pos: 36, u: 10000, i: 3520
pos: 44, u: 10000, i: 2656
pos: 52, u: 10000, i: 2448
pos: 60, u: 10000, i: 2400
pos: 67, u: 10000, i: 2176
pos: 75, u: 10000, i: 1888
pos: 84, u: 10000, i: 2224
pos: 91, u: 10000, i: 1888
pos: 99, u: 10000, i: 2208
pos: 108, u: 10000, i: 2064
pos: 115, u: 10000, i: 1840
pos: 123, u: 10000, i: 2192
pos: 132, u: 10000, i: 2000
pos: 139, u: 10000, i: 1840
pos: 147, u: 10000, i: 2256
pos: 156, u: 10000, i: 2032
pos: 163, u: 10000, i: 1792
pos: 171, u: 10000, i: 2080
pos: 180, u: 10000, i: 2048
pos: 187, u: 10000, i: 1888
pos: 195, u: 10000, i: 1760
pos: 204, u: 10000, i: 2144
pos: 212, u: 10000, i: 1904
pos: 220, u: 10000, i: 1744
pos: 228, u: 10000, i: 2256
pos: 236, u: 10000, i: 1968
pos: 243, u: 10000, i: 1808
pos: 252, u: 10000, i: 2304
pos: 259, u: 10000, i: 1952
pos: 267, u: 10000, i: 1904
pos: 276, u: 10000, i: 2224
pos: 283, u: 10000, i: 1872
pos: 291, u: 10000, i: 2192
pos: 300, u: 10000, i: 2128
pos: 307, u: 10000, i: 1840
pos: 315, u: 10000, i: 2256
pos: 324, u: 10000, i: 2048
pos: 331, u: 10000, i: 1776
pos: 339, u: 10000, i: 2128
pos: 348, u: 10000, i: 2000
pos: 355, u: 10000, i: 1792
pos: 364, u: 10000, i: 1728
pos: 372, u: 10000, i: 2144
pos: 380, u: 10000, i: 1920
pos: 388, u: 10000, i: 1760
pos: 396, u: 10000, i: 1872
pos: 404, u: 10000, i: 2144
pos: 412, u: 10000, i: 1824
pos: 420, u: 10000, i: 1696
pos: 428, u: 10000, i: 2160
pos: 436, u: 10000, i: 1984
pos: 444, u: 10000, i: 1792
pos: 452, u: 10000, i: 1744
pos: 460, u: 10000, i: 2112
pos: 469, u: 10000, i: 1968
pos: 477, u: 10000, i: 1760
pos: 485, u: 10000, i: 1680
pos: 493, u: 10000, i: 2192
pos: 501, u: 10000, i: 1904
pos: 509, u: 10000, i: 1696
pos: 517, u: 10000, i: 1728
pos: 525, u: 10000, i: 2064
pos: 533, u: 10000, i: 1952
pos: 541, u: 10000, i: 1760
pos: 550, u: 10000, i: 1856
pos: 558, u: 10000, i: 2128
pos: 566, u: 10000, i: 1824
pos: 574, u: 10000, i: 1680
pos: 582, u: 10000, i: 2208
pos: 590, u: 10000, i: 2000
pos: 598, u: 10000, i: 1760
pos: 606, u: 10000, i: 1744
pos: 614, u: 10000, i: 2192
pos: 622, u: 10000, i: 1936
pos: 630, u: 10000, i: 1840
pos: 638, u: 10000, i: 2288
pos: 646, u: 10000, i: 1936
pos: 654, u: 10000, i: 1808
pos: 662, u: 10000, i: 2288
pos: 670, u: 10000, i: 1920
pos: 678, u: 10000, i: 1776
pos: 686, u: 10000, i: 2272
pos: 694, u: 10000, i: 1920
pos: 702, u: 10000, i: 1792
pos: 710, u: 10000, i: 2304
pos: 718, u: 10000, i: 2016
pos: 726, u: 10000, i: 1840
pos: 734, u: 10000, i: 2096
pos: 742, u: 10000, i: 2032
pos: 750, u: 10000, i: 1904
pos: 759, u: 10000, i: 1696
pos: 766, u: 10000, i: 2080
pos: 774, u: 10000, i: 2000
pos: 783, u: 10000, i: 1760
pos: 791, u: 10000, i: 1696
pos: 799, u: 10000, i: 2160
pos: 807, u: 10000, i: 1856
pos: 815, u: 10000, i: 1712
pos: 823, u: 10000, i: 2080
pos: 831, u: 10000, i: 1984
pos: 839, u: 10000, i: 1856
pos: 847, u: 10000, i: 1696
pos: 855, u: 10000, i: 1984
pos: 864, u: 10000, i: 1952
pos: 872, u: 10000, i: 1760
pos: 880, u: 10000, i: 1664
pos: 888, u: 10000, i: 1984
pos: 896, u: 10000, i: 2096
pos: 904, u: 10000, i: 1840
pos: 912, u: 10000, i: 1664
pos: 920, u: 10000, i: 2096
pos: 928, u: 10000, i: 2064
pos: 936, u: 10000, i: 1808
pos: 944, u: 10000, i: 1728
pos: 952, u: 10000, i: 2192
pos: 961, u: 10000, i: 1936
pos: 968, u: 10000, i: 1824
pos: 976, u: 10000, i: 2096
pos: 985, u: 10000, i: 2064
pos: 993, u: 10000, i: 1808
pos: 1001, u: 10000, i: 1776
pos: 1009, u: 10000, i: 2224
pos: 1017, u: 10000, i: 1952
pos: 1025, u: 10000, i: 1808
pos: 1033, u: 10000, i: 2176
pos: 1041, u: 10000, i: 1888
pos: 1049, u: 10000, i: 1760
pos: 1057, u: 10000, i: 2240
pos: 1065, u: 10000, i: 1920
pos: 1073, u: 10000, i: 1856
pos: 1081, u: 10000, i: 2208
pos: 1089, u: 10000, i: 1904
pos: 1096, u: 10000, i: 1936
pos: 1105, u: 10000, i: 2160
pos: 1113, u: 10000, i: 1872
pos: 1121, u: 10000, i: 1888
pos: 1129, u: 10000, i: 2128
pos: 1137, u: 10000, i: 1872
pos: 1145, u: 10000, i: 1760
pos: 1153, u: 10000, i: 2176
pos: 1161, u: 10000, i: 1952
pos: 1169, u: 10000, i: 1760
pos: 1177, u: 10000, i: 2144
pos: 1185, u: 10000, i: 2096
pos: 1193, u: 10000, i: 1840
pos: 1201, u: 10000, i: 1744
pos: 1209, u: 10000, i: 2080
pos: 1217, u: 10000, i: 1888
pos: 1226, u: 10000, i: 1712
pos: 1234, u: 10000, i: 1600
pos: 1242, u: 10000, i: 2112
pos: 1250, u: 10000, i: 1984
pos: 1258, u: 10000, i: 1744
pos: 1266, u: 10000, i: 1664
pos: 1274, u: 10000, i: 2240
pos: 1282, u: 10000, i: 1888
pos: 1290, u: 10000, i: 1760
pos: 1298, u: 10000, i: 2224
pos: 1306, u: 10000, i: 2016
pos: 1314, u: 10000, i: 1872
pos: 1322, u: 10000, i: 1984
pos: 1330, u: 10000, i: 2112
pos: 1338, u: 10000, i: 1920
pos: 1347, u: 10000, i: 1760
pos: 1354, u: 10000, i: 2096
pos: 1362, u: 10000, i: 1984
pos: 1371, u: 10000, i: 1744
pos: 1378, u: 10000, i: 2080
pos: 1387, u: 10000, i: 2016
pos: 1395, u: 10000, i: 1776
pos: 1403, u: 10000, i: 1776
pos: 1411, u: 10000, i: 2176
pos: 1419, u: 10000, i: 1888
pos: 1427, u: 10000, i: 1760
pos: 1435, u: 10000, i: 2192
pos: 1443, u: 10000, i: 1904
pos: 1451, u: 10000, i: 1760
pos: 1459, u: 10000, i: 2192
pos: 1467, u: 10000, i: 1936
pos: 1475, u: 10000, i: 1776
pos: 1483, u: 10000, i: 2208
pos: 1491, u: 10000, i: 2000
pos: 1499, u: 10000, i: 1792
pos: 1507, u: 10000, i: 2208
pos: 1515, u: 10000, i: 1984
pos: 1523, u: 10000, i: 1712
pos: 1531, u: 10000, i: 1984
pos: 1539, u: 10000, i: 2080
pos: 1547, u: 10000, i: 1792
pos: 1555, u: 10000, i: 1664
pos: 1563, u: 10000, i: 1856
pos: 1572, u: 10000, i: 2016
pos: 1580, u: 10000, i: 1872
pos: 1588, u: 10000, i: 1664
pos: 1596, u: 10000, i: 1696
pos: 1604, u: 10000, i: 2112
pos: 1612, u: 10000, i: 1888
pos: 1620, u: 10000, i: 1744
